Year,China only,China and Other Countries (No US),China and US,All China-Involved Studies
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,0,0
1999,0,1,0,1
2000,0,0,1,1
2001,2,4,6,12
2002,7,2,6,15
2003,15,7,11,33
2004,16,4,3,23
2005,27,17,21,65
2006,44,27,26,97
2007,29,23,40,92
2008,48,18,46,112
2009,59,21,39,119
2010,82,30,33,145
2011,106,20,33,159
2012,101,34,31,166
2013,115,32,39,186
2014,139,21,36,196
2015,137,23,41,201
2016,164,20,37,221
2017,230,31,70,331
2018,317,22,106,445
2019,426,23,133,582
2020,515,29,148,692
2021,773,35,208,1016
2022,762,18,200,980
2023,942,26,212,1180
2024,936,32,205,1173
2025,1058,16,294,1368
