Year,Continent,Eligible Studies Started,Studies with Continent Participation,Percentage of All Eligible Studies,Known-Location Studies,Percentage of Known-Location Studies,Year Status
1991,Africa,8,0,0.0,2,0.0,complete year
1991,Asia,8,0,0.0,2,0.0,complete year
1991,Europe,8,0,0.0,2,0.0,complete year
1991,North America,8,2,0.25,2,1.0,complete year
1991,South America,8,0,0.0,2,0.0,complete year
1991,Oceania,8,0,0.0,2,0.0,complete year
1992,Africa,10,0,0.0,6,0.0,complete year
1992,Asia,10,1,0.1,6,0.16666666666666666,complete year
1992,Europe,10,3,0.3,6,0.5,complete year
1992,North America,10,2,0.2,6,0.3333333333333333,complete year
1992,South America,10,0,0.0,6,0.0,complete year
1992,Oceania,10,0,0.0,6,0.0,complete year
1993,Africa,19,0,0.0,6,0.0,complete year
1993,Asia,19,0,0.0,6,0.0,complete year
1993,Europe,19,3,0.15789473684210525,6,0.5,complete year
1993,North America,19,3,0.15789473684210525,6,0.5,complete year
1993,South America,19,0,0.0,6,0.0,complete year
1993,Oceania,19,0,0.0,6,0.0,complete year
1994,Africa,20,0,0.0,8,0.0,complete year
1994,Asia,20,1,0.05,8,0.125,complete year
1994,Europe,20,1,0.05,8,0.125,complete year
1994,North America,20,8,0.4,8,1.0,complete year
1994,South America,20,1,0.05,8,0.125,complete year
1994,Oceania,20,1,0.05,8,0.125,complete year
1995,Africa,35,1,0.02857142857142857,13,0.07692307692307693,complete year
1995,Asia,35,1,0.02857142857142857,13,0.07692307692307693,complete year
1995,Europe,35,5,0.14285714285714285,13,0.38461538461538464,complete year
1995,North America,35,11,0.3142857142857143,13,0.8461538461538461,complete year
1995,South America,35,0,0.0,13,0.0,complete year
1995,Oceania,35,3,0.08571428571428572,13,0.23076923076923078,complete year
1996,Africa,48,0,0.0,25,0.0,complete year
1996,Asia,48,8,0.16666666666666666,25,0.32,complete year
1996,Europe,48,11,0.22916666666666666,25,0.44,complete year
1996,North America,48,10,0.20833333333333334,25,0.4,complete year
1996,South America,48,1,0.020833333333333332,25,0.04,complete year
1996,Oceania,48,1,0.020833333333333332,25,0.04,complete year
1997,Africa,76,1,0.013157894736842105,48,0.020833333333333332,complete year
1997,Asia,76,4,0.05263157894736842,48,0.08333333333333333,complete year
1997,Europe,76,16,0.21052631578947367,48,0.3333333333333333,complete year
1997,North America,76,33,0.4342105263157895,48,0.6875,complete year
1997,South America,76,1,0.013157894736842105,48,0.020833333333333332,complete year
1997,Oceania,76,2,0.02631578947368421,48,0.041666666666666664,complete year
1998,Africa,182,7,0.038461538461538464,68,0.10294117647058823,complete year
1998,Asia,182,9,0.04945054945054945,68,0.1323529411764706,complete year
1998,Europe,182,24,0.13186813186813187,68,0.35294117647058826,complete year
1998,North America,182,52,0.2857142857142857,68,0.7647058823529411,complete year
1998,South America,182,7,0.038461538461538464,68,0.10294117647058823,complete year
1998,Oceania,182,10,0.054945054945054944,68,0.14705882352941177,complete year
1999,Africa,244,2,0.00819672131147541,130,0.015384615384615385,complete year
1999,Asia,244,3,0.012295081967213115,130,0.023076923076923078,complete year
1999,Europe,244,39,0.1598360655737705,130,0.3,complete year
1999,North America,244,105,0.430327868852459,130,0.8076923076923077,complete year
1999,South America,244,5,0.020491803278688523,130,0.038461538461538464,complete year
1999,Oceania,244,4,0.01639344262295082,130,0.03076923076923077,complete year
2000,Africa,369,8,0.02168021680216802,199,0.04020100502512563,complete year
2000,Asia,369,20,0.05420054200542006,199,0.10050251256281408,complete year
2000,Europe,369,76,0.20596205962059622,199,0.38190954773869346,complete year
2000,North America,369,150,0.4065040650406504,199,0.7537688442211056,complete year
2000,South America,369,13,0.03523035230352303,199,0.06532663316582915,complete year
2000,Oceania,369,20,0.05420054200542006,199,0.10050251256281408,complete year
2001,Africa,653,28,0.042879019908116385,409,0.06845965770171149,complete year
2001,Asia,653,40,0.06125574272588055,409,0.097799511002445,complete year
2001,Europe,653,162,0.24808575803981622,409,0.3960880195599022,complete year
2001,North America,653,298,0.4563552833078101,409,0.7286063569682152,complete year
2001,South America,653,27,0.04134762633996937,409,0.06601466992665037,complete year
2001,Oceania,653,37,0.05666156202143951,409,0.09046454767726161,complete year
2002,Africa,1220,38,0.03114754098360656,834,0.045563549160671464,complete year
2002,Asia,1220,103,0.08442622950819673,834,0.12350119904076738,complete year
2002,Europe,1220,302,0.24754098360655738,834,0.36211031175059955,complete year
2002,North America,1220,586,0.48032786885245904,834,0.7026378896882494,complete year
2002,South America,1220,45,0.036885245901639344,834,0.0539568345323741,complete year
2002,Oceania,1220,58,0.047540983606557376,834,0.06954436450839328,complete year
2003,Africa,1563,67,0.04286628278950736,1131,0.0592396109637489,complete year
2003,Asia,1563,188,0.12028150991682661,1131,0.16622458001768348,complete year
2003,Europe,1563,436,0.27895073576455537,1131,0.385499557913351,complete year
2003,North America,1563,762,0.4875239923224568,1131,0.6737400530503979,complete year
2003,South America,1563,102,0.06525911708253358,1131,0.09018567639257294,complete year
2003,Oceania,1563,101,0.06461932181701856,1131,0.08930150309460655,complete year
2004,Africa,2104,95,0.04515209125475285,1554,0.06113256113256113,complete year
2004,Asia,2104,268,0.12737642585551331,1554,0.17245817245817247,complete year
2004,Europe,2104,619,0.29420152091254753,1554,0.3983268983268983,complete year
2004,North America,2104,1025,0.48716730038022815,1554,0.6595881595881596,complete year
2004,South America,2104,119,0.05655893536121673,1554,0.07657657657657657,complete year
2004,Oceania,2104,120,0.057034220532319393,1554,0.07722007722007722,complete year
2005,Africa,2404,109,0.04534109816971714,1895,0.057519788918205805,complete year
2005,Asia,2404,352,0.1464226289517471,1895,0.18575197889182057,complete year
2005,Europe,2404,785,0.32653910149750415,1895,0.41424802110817943,complete year
2005,North America,2404,1248,0.519134775374376,1895,0.6585751978891821,complete year
2005,South America,2404,160,0.06655574043261231,1895,0.08443271767810026,complete year
2005,Oceania,2404,182,0.07570715474209651,1895,0.09604221635883906,complete year
2006,Africa,2905,168,0.05783132530120482,2449,0.06859942833809718,complete year
2006,Asia,2905,561,0.19311531841652324,2449,0.2290730910575745,complete year
2006,Europe,2905,1010,0.3476764199655766,2449,0.41241322988975093,complete year
2006,North America,2905,1509,0.5194492254733218,2449,0.6161698652511229,complete year
2006,South America,2905,238,0.0819277108433735,2449,0.09718252347897101,complete year
2006,Oceania,2905,224,0.07710843373493977,2449,0.09146590445079625,complete year
2007,Africa,3130,143,0.045686900958466455,2679,0.05337812616648003,complete year
2007,Asia,3130,642,0.20511182108626197,2679,0.23964165733482642,complete year
2007,Europe,3130,1082,0.34568690095846644,2679,0.40388204553938034,complete year
2007,North America,3130,1645,0.5255591054313099,2679,0.6140350877192983,complete year
2007,South America,3130,249,0.07955271565495207,2679,0.0929451287793953,complete year
2007,Oceania,3130,221,0.0706070287539936,2679,0.08249346771183277,complete year
2008,Africa,3389,147,0.043375627028622014,2945,0.0499151103565365,complete year
2008,Asia,3389,755,0.22277958099734435,2945,0.2563667232597623,complete year
2008,Europe,3389,1174,0.34641487164355267,2945,0.39864176570458404,complete year
2008,North America,3389,1827,0.5390970787843021,2945,0.6203735144312393,complete year
2008,South America,3389,292,0.0861611094718206,2945,0.09915110356536502,complete year
2008,Oceania,3389,270,0.07966951903216288,2945,0.09168081494057725,complete year
2009,Africa,3281,144,0.04388905821395916,2919,0.04933196300102775,complete year
2009,Asia,3281,787,0.23986589454434623,2919,0.2696128811236725,complete year
2009,Europe,3281,1258,0.38341968911917096,2919,0.43096951010620077,complete year
2009,North America,3281,1725,0.5257543431880525,2919,0.590955806783145,complete year
2009,South America,3281,269,0.0819871990246876,2919,0.09215484755053101,complete year
2009,Oceania,3281,249,0.07589149649497104,2919,0.08530318602261049,complete year
2010,Africa,3143,123,0.03913458479160038,2843,0.043264157580021105,complete year
2010,Asia,3143,840,0.267260579064588,2843,0.2954625395708758,complete year
2010,Europe,3143,1169,0.37193763919821826,2843,0.4111853675694689,complete year
2010,North America,3143,1638,0.5211581291759465,2843,0.5761519521632079,complete year
2010,South America,3143,219,0.06967865097041044,2843,0.07703130495954977,complete year
2010,Oceania,3143,255,0.0811326757874642,2843,0.08969398522687302,complete year
2011,Africa,3257,156,0.04789683758059564,2973,0.05247225025227043,complete year
2011,Asia,3257,891,0.2735646300276328,2973,0.29969727547931385,complete year
2011,Europe,3257,1253,0.38470985569542526,2973,0.42145980491086443,complete year
2011,North America,3257,1723,0.5290144304574762,2973,0.5795492768247561,complete year
2011,South America,3257,254,0.07798587657353392,2973,0.08543558694920955,complete year
2011,Oceania,3257,252,0.07737181455326989,2973,0.08476286579212916,complete year
2012,Africa,3017,124,0.041100430891614186,2756,0.04499274310595065,complete year
2012,Asia,3017,895,0.29665230361286044,2756,0.32474600870827286,complete year
2012,Europe,3017,1160,0.384487901889294,2756,0.420899854862119,complete year
2012,North America,3017,1580,0.5236990387802453,2756,0.5732946298984035,complete year
2012,South America,3017,230,0.0762346702021876,2756,0.08345428156748912,complete year
2012,Oceania,3017,255,0.08452104739807756,2756,0.09252539912917271,complete year
2013,Africa,2963,139,0.046911913601079984,2726,0.05099046221570066,complete year
2013,Asia,2963,850,0.28687141410732364,2726,0.3118121790168745,complete year
2013,Europe,2963,1106,0.3732703341208235,2726,0.4057226705796038,complete year
2013,North America,2963,1590,0.5366182922713466,2726,0.5832721936903889,complete year
2013,South America,2963,224,0.07559905501181235,2726,0.08217168011738811,complete year
2013,Oceania,2963,284,0.09584880188997638,2726,0.10418195157740279,complete year
2014,Africa,3255,126,0.03870967741935484,2964,0.04251012145748988,complete year
2014,Asia,3255,930,0.2857142857142857,2964,0.31376518218623484,complete year
2014,Europe,3255,1164,0.3576036866359447,2964,0.39271255060728744,complete year
2014,North America,3255,1763,0.5416282642089094,2964,0.594804318488529,complete year
2014,South America,3255,193,0.059293394777265744,2964,0.06511470985155196,complete year
2014,Oceania,3255,278,0.08540706605222734,2964,0.09379217273954116,complete year
2015,Africa,3196,114,0.03566958698372966,2923,0.03900102634279849,complete year
2015,Asia,3196,889,0.2781602002503129,2923,0.30413958262059526,complete year
2015,Europe,3196,1191,0.37265331664580725,2923,0.4074580910023948,complete year
2015,North America,3196,1837,0.5747809762202754,2923,0.6284639069449196,complete year
2015,South America,3196,189,0.05913642052565707,2923,0.06465959630516592,complete year
2015,Oceania,3196,326,0.10200250312891114,2923,0.1115292507697571,complete year
2016,Africa,3103,83,0.026748308088946182,2832,0.029307909604519775,complete year
2016,Asia,3103,941,0.3032549145987754,2832,0.332274011299435,complete year
2016,Europe,3103,1161,0.37415404447309053,2832,0.4099576271186441,complete year
2016,North America,3103,1696,0.5465678375765388,2832,0.5988700564971752,complete year
2016,South America,3103,169,0.05446342249436029,2832,0.05967514124293785,complete year
2016,Oceania,3103,284,0.09152433129229777,2832,0.10028248587570622,complete year
2017,Africa,3020,96,0.031788079470198675,2933,0.032730992158199794,complete year
2017,Asia,3020,1062,0.35165562913907283,2933,0.36208660075008525,complete year
2017,Europe,3020,1262,0.41788079470198675,2933,0.4302761677463348,complete year
2017,North America,3020,1700,0.5629139072847682,2933,0.5796113194681214,complete year
2017,South America,3020,199,0.06589403973509934,2933,0.06784861916126833,complete year
2017,Oceania,3020,356,0.11788079470198676,2933,0.12137742925332425,complete year
2018,Africa,3171,107,0.033743298643960896,3104,0.034471649484536085,complete year
2018,Asia,3171,1181,0.37243771680857773,3104,0.3804768041237113,complete year
2018,Europe,3171,1256,0.39608956165247555,3104,0.40463917525773196,complete year
2018,North America,3171,1811,0.5711132134973195,3104,0.5834407216494846,complete year
2018,South America,3171,234,0.07379375591296121,3104,0.07538659793814433,complete year
2018,Oceania,3171,394,0.12425102491327657,3104,0.12693298969072164,complete year
2019,Africa,3264,93,0.02849264705882353,3176,0.029282115869017633,complete year
2019,Asia,3264,1299,0.39797794117647056,3176,0.4090050377833753,complete year
2019,Europe,3264,1260,0.3860294117647059,3176,0.3967254408060453,complete year
2019,North America,3264,1798,0.5508578431372549,3176,0.5661209068010076,complete year
2019,South America,3264,242,0.0741421568627451,3176,0.07619647355163728,complete year
2019,Oceania,3264,386,0.11825980392156862,3176,0.12153652392947104,complete year
2020,Africa,3338,88,0.026363091671659677,3204,0.02746566791510612,complete year
2020,Asia,3338,1438,0.43079688436189334,3204,0.4488139825218477,complete year
2020,Europe,3338,1184,0.3547034152186938,3204,0.36953807740324596,complete year
2020,North America,3338,1752,0.5248651887357699,3204,0.5468164794007491,complete year
2020,South America,3338,297,0.0889754343918514,3204,0.09269662921348315,complete year
2020,Oceania,3338,454,0.1360095865787897,3204,0.14169787765293385,complete year
2021,Africa,4081,121,0.029649595687331536,3928,0.03080448065173116,complete year
2021,Asia,4081,1885,0.46189659397206567,3928,0.479887983706721,complete year
2021,Europe,4081,1398,0.3425630972800784,3928,0.3559063136456212,complete year
2021,North America,4081,2087,0.5113942661112473,3928,0.5313136456211812,complete year
2021,South America,4081,313,0.07669688801764274,3928,0.07968431771894094,complete year
2021,Oceania,4081,540,0.13232050967900025,3928,0.13747454175152748,complete year
2022,Africa,3708,138,0.0372168284789644,3562,0.03874227961819203,complete year
2022,Asia,3708,1671,0.4506472491909385,3562,0.4691184727681078,complete year
2022,Europe,3708,1176,0.31715210355987056,3562,0.33015160022459294,complete year
2022,North America,3708,1892,0.5102481121898598,3562,0.5311622683885457,complete year
2022,South America,3708,299,0.08063646170442287,3562,0.08394160583941605,complete year
2022,Oceania,3708,475,0.12810140237324702,3562,0.13335204941044357,complete year
2023,Africa,3584,108,0.030133928571428572,3437,0.03142275240034914,complete year
2023,Asia,3584,1820,0.5078125,3437,0.5295315682281059,complete year
2023,Europe,3584,1071,0.298828125,3437,0.31160896130346233,complete year
2023,North America,3584,1677,0.46791294642857145,3437,0.4879255164387547,complete year
2023,South America,3584,322,0.08984375,3437,0.09368635437881874,complete year
2023,Oceania,3584,468,0.13058035714285715,3437,0.13616526040151294,complete year
2024,Africa,3574,85,0.02378287632904309,3379,0.025155371411660254,complete year
2024,Asia,3574,1790,0.5008393956351427,3379,0.529742527374963,complete year
2024,Europe,3574,1019,0.2851147174034695,3379,0.3015685113939035,complete year
2024,North America,3574,1672,0.46782316731952994,3379,0.49482095294465817,complete year
2024,South America,3574,308,0.08617795187465026,3379,0.09115122817401598,complete year
2024,Oceania,3574,513,0.14353665360940124,3379,0.15182006510802012,complete year
2025,Africa,3784,62,0.01638477801268499,3526,0.01758366420873511,complete year
2025,Asia,3784,1941,0.5129492600422833,3526,0.550482132728304,complete year
2025,Europe,3784,992,0.26215644820295986,3526,0.2813386273397618,complete year
2025,North America,3784,1719,0.45428118393234673,3526,0.4875212705615428,complete year
2025,South America,3784,314,0.08298097251585623,3526,0.0890527509926262,complete year
2025,Oceania,3784,533,0.14085623678646936,3526,0.1511627906976744,complete year
2026,Africa,2827,26,0.00919702865228157,2301,0.011299435028248588,partial year
2026,Asia,2827,1217,0.4304916873010258,2301,0.5289004780530204,partial year
2026,Europe,2827,475,0.16802263883975946,2301,0.20643198609300303,partial year
2026,North America,2827,1065,0.3767244428723028,2301,0.46284224250325945,partial year
2026,South America,2827,143,0.05058365758754864,2301,0.062146892655367235,partial year
2026,Oceania,2827,314,0.11107180756986204,2301,0.13646240764884832,partial year
