Year,Eligible Studies Started,Known-Location Studies,Missing-Location Studies,Missing-Location Percentage,Unique Countries Involved,3-Year Rolling Active Countries,Cumulative Countries Since 1991,Year Status
1991,8,2,6,0.75,1,1,1,complete year
1992,10,6,4,0.4,8,8,8,complete year
1993,19,6,13,0.6842105263157895,2,8,8,complete year
1994,20,8,12,0.6,26,27,27,complete year
1995,35,13,22,0.6285714285714286,24,31,32,complete year
1996,48,25,23,0.4791666666666667,24,34,34,complete year
1997,76,48,28,0.3684210526315789,29,36,38,complete year
1998,182,68,114,0.6263736263736264,53,55,55,complete year
1999,244,130,114,0.4672131147540984,39,60,60,complete year
2000,369,199,170,0.46070460704607047,56,69,69,complete year
2001,653,409,244,0.37366003062787134,71,74,78,complete year
2002,1220,834,386,0.3163934426229508,78,84,90,complete year
2003,1563,1131,432,0.2763915547024952,84,97,101,complete year
2004,2104,1554,550,0.26140684410646386,91,105,112,complete year
2005,2404,1895,509,0.21173044925124793,94,111,118,complete year
2006,2905,2449,456,0.15697074010327022,108,115,124,complete year
2007,3130,2679,451,0.1440894568690096,100,119,128,complete year
2008,3389,2945,444,0.13101209796400118,98,118,131,complete year
2009,3281,2919,362,0.11033221578786956,105,118,136,complete year
2010,3143,2843,300,0.09545020680878141,100,119,137,complete year
2011,3257,2973,284,0.08719680687749462,102,119,138,complete year
2012,3017,2756,261,0.08650977792509115,99,115,140,complete year
2013,2963,2726,237,0.07998650016874789,104,121,144,complete year
2014,3255,2964,291,0.08940092165898618,99,122,148,complete year
2015,3196,2923,273,0.08541927409261577,103,121,149,complete year
2016,3103,2832,271,0.08733483725427006,93,119,152,complete year
2017,3020,2934,86,0.02847682119205298,103,118,153,complete year
2018,3170,3103,67,0.02113564668769716,108,123,156,complete year
2019,3264,3176,88,0.02696078431372549,97,125,157,complete year
2020,3337,3203,134,0.04015582858855259,91,119,157,complete year
2021,4079,3926,153,0.037509193429762194,102,112,158,complete year
2022,3708,3562,146,0.039374325782092774,105,114,161,complete year
2023,3583,3435,148,0.04130616801562936,94,115,161,complete year
2024,3574,3379,195,0.05456071628427532,105,118,162,complete year
2025,3784,3521,263,0.06950317124735729,85,112,163,complete year
2026,2717,2196,521,0.19175561280824438,74,112,163,partial year
