Country,2024 Studies,2025 Studies,Change Status
Gabon,5,0,Not represented among studies starting in 2025
Côte d’Ivoire,4,0,Not represented among studies starting in 2025
Belarus,3,0,Not represented among studies starting in 2025
Burkina Faso,3,0,Not represented among studies starting in 2025
Democratic Republic of the Congo,3,0,Not represented among studies starting in 2025
Mongolia,3,0,Not represented among studies starting in 2025
Zimbabwe,2,0,Not represented among studies starting in 2025
American Samoa,1,0,Not represented among studies starting in 2025
Botswana,1,0,Not represented among studies starting in 2025
Costa Rica,1,0,Not represented among studies starting in 2025
El Salvador,1,0,Not represented among studies starting in 2025
Eswatini,1,0,Not represented among studies starting in 2025
Honduras,1,0,Not represented among studies starting in 2025
Iceland,1,0,Not represented among studies starting in 2025
Iran,1,0,Not represented among studies starting in 2025
Luxembourg,1,0,Not represented among studies starting in 2025
Malawi,1,0,Not represented among studies starting in 2025
Mali,1,0,Not represented among studies starting in 2025
Montenegro,1,0,Not represented among studies starting in 2025
Niger,1,0,Not represented among studies starting in 2025
Reunion,1,0,Not represented among studies starting in 2025
Rwanda,1,0,Not represented among studies starting in 2025
Sri Lanka,1,0,Not represented among studies starting in 2025
Tanzania,1,0,Not represented among studies starting in 2025
Zambia,1,0,Not represented among studies starting in 2025
Oman,0,4,Newly represented among studies starting in 2025
Nigeria,0,2,Newly represented among studies starting in 2025
Cyprus,0,1,Newly represented among studies starting in 2025
French Guiana,0,1,Newly represented among studies starting in 2025
Martinique,0,1,Newly represented among studies starting in 2025
