Country,First Active Year,Studies in First Active Year
United States,1991,2
Denmark,1992,1
Finland,1992,1
France,1992,1
Japan,1992,1
Norway,1992,1
Sweden,1992,1
United Kingdom,1992,1
Argentina,1994,1
Australia,1994,1
Austria,1994,1
Belgium,1994,1
Canada,1994,1
Czechia,1994,1
Germany,1994,1
Hungary,1994,1
Israel,1994,1
Italy,1994,1
Mexico,1994,1
Netherlands,1994,1
New Zealand,1994,1
Poland,1994,1
Puerto Rico,1994,1
Singapore,1994,1
Slovakia,1994,1
Slovenia,1994,1
Spain,1994,1
Ireland,1995,1
Portugal,1995,1
Russia,1995,2
South Africa,1995,1
Switzerland,1995,2
Hong Kong,1996,1
South Korea,1996,1
Brazil,1997,1
Egypt,1997,1
Greece,1997,1
Uruguay,1997,1
Barbados,1998,1
Bosnia and Herzegovina,1998,1
Bulgaria,1998,1
Chile,1998,2
Croatia,1998,2
Estonia,1998,2
Guadeloupe,1998,1
Latvia,1998,1
Luxembourg,1998,1
Malta,1998,1
Peru,1998,1
Reunion,1998,1
Romania,1998,1
Serbia,1998,1
Taiwan,1998,2
Turkey (Türkiye),1998,2
Venezuela,1998,1
China,1999,1
Dominican Republic,1999,2
Guatemala,1999,1
Iceland,1999,1
Panama,1999,1
Colombia,2000,1
Lebanon,2000,2
Lithuania,2000,4
Malaysia,2000,1
Pakistan,2000,1
Philippines,2000,1
Saudi Arabia,2000,1
Thailand,2000,3
Ukraine,2000,3
Angola,2001,1
Costa Rica,2001,3
Cyprus,2001,1
Honduras,2001,1
India,2001,3
Jamaica,2001,1
Republic of the Congo,2001,1
Tunisia,2001,1
United Arab Emirates,2001,1
Algeria,2002,1
Belarus,2002,1
Ecuador,2002,2
Federal Republic of Yugoslavia,2002,1
Indonesia,2002,2
Iran,2002,1
Jordan,2002,1
Kenya,2002,1
Morocco,2002,1
Nigeria,2002,1
North Macedonia,2002,3
Tanzania,2002,1
Bangladesh,2003,1
Belize,2003,1
Bermuda,2003,1
Cameroon,2003,1
El Salvador,2003,3
Georgia,2003,1
Malawi,2003,1
Montenegro,2003,1
Serbia and Montenegro,2003,3
The Gambia,2003,1
Vietnam,2003,1
Albania,2004,1
Andorra,2004,1
Ghana,2004,2
Kuwait,2004,2
Mali,2004,1
Oman,2004,1
Sri Lanka,2004,1
Syria,2004,1
The Bahamas,2004,1
Uganda,2004,1
Zambia,2004,1
Kazakhstan,2005,1
Mozambique,2005,1
Qatar,2005,1
Rwanda,2005,1
Senegal,2005,1
Trinidad and Tobago,2005,2
Bahrain,2006,1
Benin,2006,1
Botswana,2006,1
Burkina Faso,2006,3
Madagascar,2006,1
Sudan,2006,1
Gabon,2007,1
Moldova,2007,5
Nepal,2007,1
Virgin Islands,2007,1
Côte d’Ivoire,2008,1
Grenada,2008,1
Monaco,2008,1
American Samoa,2009,1
Armenia,2009,1
Cuba,2009,3
New Caledonia,2009,1
Saint Kitts and Nevis,2009,1
Paraguay,2010,2
Zimbabwe,2011,1
Montserrat,2012,1
Togo,2012,1
Central African Republic,2013,1
Democratic Republic of the Congo,2013,1
Kyrgyzstan,2013,1
Mauritius,2013,1
Cambodia,2014,2
Ethiopia,2014,3
Martinique,2014,1
Netherlands Antilles,2014,1
Faroe Islands,2015,1
Bolivia,2016,2
Nicaragua,2016,1
Uzbekistan,2016,2
Micronesia,2017,1
Mongolia,2018,1
Niger,2018,1
Saint Lucia,2018,1
North Korea,2019,1
Afghanistan,2021,1
Iraq,2022,1
San Marino,2022,1
United States Minor Outlying Islands,2022,1
Eswatini,2024,1
French Guiana,2025,1
