Year,Number of First-Time Countries,First-Time Countries
1991,1,United States
1992,7,Denmark; Finland; France; Japan; Norway; Sweden; United Kingdom
1993,0,
1994,19,Argentina; Australia; Austria; Belgium; Canada; Czechia; Germany; Hungary; Israel; Italy; Mexico; Netherlands; New Zealand; Poland; Puerto Rico; Singapore; Slovakia; Slovenia; Spain
1995,5,Ireland; Portugal; Russia; South Africa; Switzerland
1996,2,Hong Kong; South Korea
1997,4,Brazil; Egypt; Greece; Uruguay
1998,17,Barbados; Bosnia and Herzegovina; Bulgaria; Chile; Croatia; Estonia; Guadeloupe; Latvia; Luxembourg; Malta; Peru; Reunion; Romania; Serbia; Taiwan; Turkey (Türkiye); Venezuela
1999,5,China; Dominican Republic; Guatemala; Iceland; Panama
2000,9,Colombia; Lebanon; Lithuania; Malaysia; Pakistan; Philippines; Saudi Arabia; Thailand; Ukraine
2001,9,Angola; Costa Rica; Cyprus; Honduras; India; Jamaica; Republic of the Congo; Tunisia; United Arab Emirates
2002,12,Algeria; Belarus; Ecuador; Federal Republic of Yugoslavia; Indonesia; Iran; Jordan; Kenya; Morocco; Nigeria; North Macedonia; Tanzania
2003,11,Bangladesh; Belize; Bermuda; Cameroon; El Salvador; Georgia; Malawi; Montenegro; Serbia and Montenegro; The Gambia; Vietnam
2004,11,Albania; Andorra; Ghana; Kuwait; Mali; Oman; Sri Lanka; Syria; The Bahamas; Uganda; Zambia
2005,6,Kazakhstan; Mozambique; Qatar; Rwanda; Senegal; Trinidad and Tobago
2006,6,Bahrain; Benin; Botswana; Burkina Faso; Madagascar; Sudan
2007,4,Gabon; Moldova; Nepal; Virgin Islands
2008,3,Côte d’Ivoire; Grenada; Monaco
2009,5,American Samoa; Armenia; Cuba; New Caledonia; Saint Kitts and Nevis
2010,1,Paraguay
2011,1,Zimbabwe
2012,2,Montserrat; Togo
2013,4,Central African Republic; Democratic Republic of the Congo; Kyrgyzstan; Mauritius
2014,4,Cambodia; Ethiopia; Martinique; Netherlands Antilles
2015,1,Faroe Islands
2016,3,Bolivia; Nicaragua; Uzbekistan
2017,1,Micronesia
2018,3,Mongolia; Niger; Saint Lucia
2019,1,North Korea
2020,0,
2021,1,Afghanistan
2022,3,Iraq; San Marino; United States Minor Outlying Islands
2023,0,
2024,1,Eswatini
2025,1,French Guiana
2026,0,
