Year,Number of Returning Countries,Returning Countries
1991,0,
1992,0,
1993,0,
1994,5,Denmark; Finland; Norway; Sweden; United Kingdom
1995,0,
1996,5,Argentina; France; Japan; New Zealand; Puerto Rico
1997,5,Portugal; Slovakia; South Africa; Spain; Switzerland
1998,8,Belgium; Hong Kong; Ireland; Mexico; New Zealand; Russia; Singapore; Slovenia
1999,2,Puerto Rico; South Korea
2000,15,Bosnia and Herzegovina; Bulgaria; Chile; Egypt; Estonia; Greece; Hong Kong; Ireland; Latvia; Peru; Romania; Singapore; Slovakia; Taiwan; Turkey (Türkiye)
2001,6,Guatemala; Panama; Slovenia; South Korea; Uruguay; Venezuela
2002,1,Dominican Republic
2003,3,Malta; Republic of the Congo; Serbia
2004,6,Ecuador; Jordan; Kenya; Luxembourg; Nigeria; United Arab Emirates
2005,6,Algeria; Cameroon; Cyprus; Jamaica; Malta; Tanzania
2006,14,Albania; Andorra; Belize; Bosnia and Herzegovina; El Salvador; Georgia; Ghana; Honduras; Iran; Montenegro; Nigeria; North Macedonia; Reunion; Sri Lanka
2007,2,Algeria; The Bahamas
2008,5,Benin; Burkina Faso; El Salvador; Ghana; Uganda
2009,11,Albania; Bangladesh; Botswana; Cameroon; Jamaica; Kuwait; Malawi; Rwanda; Sri Lanka; The Bahamas; Uruguay
2010,9,Bahrain; El Salvador; Ghana; Grenada; Iran; Kazakhstan; Montenegro; Mozambique; Uganda
2011,10,Albania; Bangladesh; Belize; Cyprus; Gabon; Honduras; Jamaica; Monaco; Oman; Serbia and Montenegro
2012,7,Jordan; Kazakhstan; Montenegro; Nigeria; Republic of the Congo; Uruguay; Venezuela
2013,13,Bahrain; Belize; Cameroon; Cyprus; Ghana; Kenya; Kuwait; Mozambique; Oman; Senegal; Tanzania; The Gambia; Zimbabwe
2014,6,Costa Rica; Iran; Rwanda; Serbia and Montenegro; The Bahamas; Venezuela
2015,15,Bahrain; Benin; Burkina Faso; Cameroon; Cyprus; Gabon; Jamaica; Mali; Monaco; Mozambique; Nigeria; Oman; Senegal; Tanzania; Virgin Islands
2016,4,Armenia; Luxembourg; Rwanda; Sri Lanka
2017,16,Bahrain; Bangladesh; Botswana; Burkina Faso; Cameroon; Côte d’Ivoire; Democratic Republic of the Congo; El Salvador; Gabon; Ghana; Mali; Mauritius; Morocco; Republic of the Congo; Tanzania; Zimbabwe
2018,13,Albania; Belize; Benin; Central African Republic; Cuba; Jamaica; Madagascar; Montenegro; Oman; Reunion; Senegal; The Gambia; Zambia
2019,7,Bolivia; Cyprus; Côte d’Ivoire; Guadeloupe; Mali; Martinique; Nigeria
2020,6,Bangladesh; Burkina Faso; Democratic Republic of the Congo; El Salvador; Honduras; Sri Lanka
2021,13,Albania; Algeria; Cyprus; Côte d’Ivoire; Gabon; Iran; Luxembourg; Mali; Montenegro; Republic of the Congo; Rwanda; Tanzania; Zambia
2022,8,Ecuador; Honduras; Malawi; Mongolia; Mozambique; Senegal; The Bahamas; Uzbekistan
2023,7,Albania; American Samoa; Gabon; Luxembourg; Montenegro; The Gambia; Zambia
2024,14,Bangladesh; Botswana; Democratic Republic of the Congo; El Salvador; Honduras; Malawi; Mali; Niger; Reunion; Rwanda; Sri Lanka; Tanzania; Uzbekistan; Zimbabwe
2025,4,Cyprus; Martinique; Nigeria; Oman
2026,5,Costa Rica; Honduras; Montenegro; The Gambia; Uruguay
